"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Pujols, Albert",405395,2021,41,275,296,65,45,3,0,17,45,14,15.2,4.7,".236",".433",".284","0.717","0.197",".223","50","146","119","0","2",".252",".466",".302",".323",".298",".214",,,,,,,,,,,,,"90.3","12",29.3,9.1
"Cabrera, Miguel",408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,".256",".386",".316","0.702","0.130",".305","75","200","182","0","0",".228",".419",".305",".313",".295",".191",,,,,,,,,,,,,"91.4","10",32.8,8.3
"Rivera, René",425784,2021,37,69,78,16,11,3,0,2,29,4,37.2,5.1,".232",".362",".293","0.655","0.130",".368","9","30","25","0","0",".196",".341",".288",".266",".260",".145",,,,,,,,,,,,,"88.5","13",30.2,9.3
"Wainwright, Adam",425794,2021,39,57,74,7,5,2,0,0,25,3,33.8,4.1,".123",".158",".167","0.325","0.035",".219","4","30","9","0","0",".135",".199",".149",".173",".178",".064",,,,,,,,,,,,,"86.1","4.7",15.2,2.2
"Molina, Yadier",425877,2021,38,440,473,111,81,19,0,11,79,24,16.7,5.1,".252",".370",".297","0.667","0.118",".283","66","180","163","0","3",".252",".413",".290",".308",".297",".162",,,,,,,,,,,,,"88","15.3",34.1,5.2
"Suzuki, Kurt",435559,2021,37,219,247,49,35,8,0,6,44,12,17.8,4.9,".224",".342",".294","0.636","0.118",".250","16","75","75","0","0",".202",".312",".282",".265",".276",".110",,,,,,,,,,,,,"85.2","14.6",28.9,3.9
"Cruz, Nelson",443558,2021,40,513,584,136,82,21,1,32,126,51,21.6,8.7,".265",".497",".334","0.831","0.232",".286","86","219","255","0","3",".259",".525",".346",".367",".336",".266",,,,,,,,,,,,,"92.9","11.8",31.8,13.6
"Peralta, David",444482,2021,33,487,538,126,80,30,8,8,92,46,17.1,8.6,".259",".402",".325","0.727","0.143",".303","63","214","196","1","2",".239",".346",".314",".294",".310",".107",,,,,,,,,,,,,"89.3","5.3",27.2,5
"Piña, Manny",444489,2021,34,180,208,34,15,6,0,13,38,22,18.3,10.6,".189",".439",".293","0.732","0.250",".162","33","86","79","0","0",".214",".439",".315",".329",".316",".226",,,,,,,,,,,,,"86.5","18.8",32.2,10.5
"Escobar, Alcides",444876,2021,34,319,349,92,65,21,2,4,56,17,16,4.9,".288",".404",".340","0.744","0.116",".337","28","98","129","0","3",".268",".366",".325",".309",".323",".097",,,,,,,,,,,,,"81.7","11.1",36.3,3
