Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
Seth Lugo,34,KCR,AL,5.4,16,9,0.64,3.0,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,137.0,3.25,1.089,7.7,0.7,2.1,7.9,3.77,ASCYA-2MVP-15GG,lugose01
Cole Ragans*,26,KCR,AL,5.0,11,9,0.55,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,131.0,2.99,1.143,7.1,0.7,3.2,10.8,3.33,ASCYA-4,raganco01
Brady Singer,27,KCR,AL,3.1,9,13,0.409,3.71,32,32,0,0,0,0,179.2,175,77,74,22,54,0,170,10,0,2,762,111.0,3.93,1.275,8.8,1.1,2.7,8.5,3.15,nan,singebr01
Michael Wacha,32,KCR,AL,3.4,13,8,0.619,3.35,29,29,0,0,0,0,166.2,154,65,62,17,45,1,145,5,0,3,685,123.0,3.65,1.194,8.3,0.9,2.4,7.8,3.22,nan,wachami01
Michael Lorenzen,32,KCR,AL,1.2,2,0,1.0,1.57,7,6,0,0,0,0,28.2,19,6,5,2,12,0,22,1,0,0,117,265.0,3.9,1.081,6.0,0.6,3.8,6.9,1.83,nan,lorenmi01
Alec Marsh,26,KCR,AL,0.8,9,9,0.5,4.53,26,25,1,0,0,0,129.0,123,70,65,19,39,1,123,11,1,3,548,91.0,4.34,1.256,8.6,1.3,2.7,8.6,3.15,nan,marshal01
Lucas Erceg,29,KCR,AL,0.8,0,3,0.0,2.88,23,0,12,0,0,11,25.0,18,9,8,0,3,0,31,1,1,1,97,144.0,1.17,0.84,6.5,0.0,1.1,11.2,10.33,nan,erceglu01
Chris Stratton,33,KCR,AL,-0.7,4,3,0.571,5.55,57,0,21,0,0,4,58.1,53,38,36,5,33,1,44,3,0,1,257,74.0,4.62,1.474,8.2,0.8,5.1,6.8,1.33,nan,stratch01
James McArthur,27,KCR,AL,-0.5,5,7,0.417,4.92,57,0,38,0,0,18,56.2,68,36,31,8,14,2,49,3,0,1,247,84.0,4.17,1.447,10.8,1.3,2.2,7.8,3.5,nan,mcartja01
Ángel Zerpa*,24,KCR,AL,0.6,2,0,1.0,3.86,60,0,3,0,0,0,53.2,59,24,23,6,19,2,49,2,0,3,239,107.0,3.97,1.453,9.9,1.0,3.2,8.2,2.58,nan,zerpaan01
John Schreiber,30,KCR,AL,0.5,4,3,0.571,3.66,59,0,5,0,0,2,51.2,48,23,21,1,20,1,46,4,0,1,224,113.0,3.03,1.316,8.4,0.2,3.5,8.0,2.3,nan,schrejo01
Hunter Harvey,29,KCR,AL,-0.2,0,0,,6.35,6,0,1,0,0,1,5.2,8,4,4,1,4,1,5,1,0,0,29,69.0,6.34,2.118,12.7,1.6,6.4,7.9,1.25,nan,harvehu01
Daniel Lynch IV*,27,KCR,AL,0.9,2,0,1.0,3.32,16,3,3,0,0,1,43.1,29,17,16,6,14,0,39,4,0,0,174,124.0,4.41,0.992,6.0,1.2,2.9,8.1,2.79,nan,lynchda02
Sam Long*,28,KCR,AL,0.7,3,3,0.5,3.16,43,0,5,0,0,1,42.2,34,17,15,5,17,1,44,1,1,3,176,131.0,3.89,1.195,7.2,1.1,3.6,9.3,2.59,nan,longsa01
Will Smith*,34,KCR,AL,-0.9,0,4,0.0,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,63.0,5.27,1.452,9.8,1.5,3.3,6.3,1.93,nan,smithwi04
Nick Anderson,33,KCR,AL,0.3,3,1,0.75,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,103.0,5.07,1.402,8.8,1.5,3.8,7.3,1.93,nan,anderni01
Kris Bubic*,26,KCR,AL,0.8,1,1,0.5,2.67,27,0,7,0,0,1,30.1,26,12,9,2,5,3,39,0,0,1,121,155.0,1.95,1.022,7.7,0.6,1.5,11.6,7.8,nan,bubickr01
Carlos Hernández,27,KCR,AL,0.2,0,1,0.0,3.3,27,0,10,0,0,0,30.0,24,14,11,1,16,0,27,1,0,1,129,126.0,3.5,1.333,7.2,0.3,4.8,8.1,1.69,nan,hernaca04
Walter Pennington*,26,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,0.17,0.0,0.0,0.0,0.0,13.5,,nan,penniwa01
Matt Sauer,25,KCR,AL,-0.2,0,0,,7.71,14,0,8,0,0,0,16.1,23,14,14,3,11,0,9,1,0,1,84,54.0,6.66,2.082,12.7,1.7,6.1,5.0,0.82,nan,sauerma01
Anthony Veneziano*,26,KCR,AL,0.0,0,0,,4.5,2,0,1,0,0,0,2.0,4,2,1,0,1,0,2,0,0,0,11,108.0,2.67,2.5,18.0,0.0,4.5,9.0,2.0,nan,venezan01
Tyler Duffey,33,KCR,AL,0.0,1,0,1.0,5.0,9,0,0,0,0,0,9.0,7,5,5,0,8,0,10,1,0,0,42,85.0,3.94,1.667,7.0,0.0,8.0,10.0,1.25,nan,duffety01
Will Klein,24,KCR,AL,-0.1,1,0,1.0,6.35,5,0,2,0,0,0,5.2,10,4,4,0,2,0,6,0,0,0,27,69.0,2.11,2.118,15.9,0.0,3.2,9.5,3.0,nan,kleinwi01
Colin Selby,26,KCR,AL,-0.1,0,0,,6.0,2,0,1,0,0,0,3.0,2,3,2,0,2,0,0,0,0,1,13,77.0,5.17,1.333,6.0,0.0,6.0,0.0,0.0,nan,selbyco01
Steven Cruz,25,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.2,1,0,0,0,0,0,4,0,0,1,18,,1.75,0.176,1.6,0.0,0.0,6.4,,nan,cruzst01
Jordan Lyles,33,KCR,AL,0.2,0,0,,0.0,5,0,3,0,0,0,5.0,2,0,0,0,2,0,3,0,0,0,19,,3.17,0.8,3.6,0.0,3.6,5.4,1.5,nan,lylesjo01
Dan Altavilla,31,KCR,AL,-0.3,0,1,0.0,14.73,5,1,0,0,0,0,3.2,5,6,6,1,3,0,5,1,0,0,21,31.0,7.26,2.182,12.3,2.5,7.4,12.3,1.67,nan,altavda01
Jonathan Bowlan,27,KCR,AL,-0.2,0,1,0.0,13.5,1,1,0,0,0,0,2.2,6,4,4,3,3,0,3,0,0,0,17,35.0,18.92,3.375,20.3,10.1,10.1,10.1,1.0,nan,bowlajo01
Garrett Hampson,29,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,4,,6.17,0.0,0.0,0.0,0.0,0.0,,nan,hampsga01
Nick Loftin,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.17,1.0,9.0,0.0,0.0,0.0,,nan,loftini01
Nick Pratto*,25,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,4,,1.17,1.0,9.0,0.0,0.0,9.0,,nan,prattni01
