Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Player-additional.1,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Bobby Witt Jr.,25,KCR,AL,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,0.295,0.351,0.501,0.852,136.0,0.37,136.0,312,7,8,0,7,8,*6/D,ASMVP-4GGSS,wittbo02,wittbo02,677951.0,2023.5,23.5,622.75,680.5,180.5,108.0,37.75,8.5,26.25,121.75,44.0,18.0,6.4,0.28925,0.503,0.33825,0.84125,0.21375,0.3195,93.25,221.0,314.0,10.75,37.0,0.28375,0.51725,0.356,0.3645,0.3365,0.2335,74.7,49.1,19.7666666667,15.7,34.1666666667,27.1333333333,7.03333333333,15.6666666667,5.63333333333,-0.966666666667,48.4333333333,29.7333333333,91.6,15.7,34.5,11.75
Vinnie Pasquantino*,27,KCR,AL,2.4,160,682,621,72,164,33,1,32,113,1,0,49,107,0.264,0.323,0.475,0.798,120.0,0.343,121.0,295,14,7,0,5,5,*3D,nan,pasquvi01,pasquvi01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maikel Garcia,25,KCR,AL,5.8,160,666,595,81,170,39,5,16,74,23,9,62,84,0.286,0.351,0.449,0.8,123.0,0.348,123.0,267,14,1,3,5,0,*564/8DH9,ASMVP-14GG,garcima01,garcima01,672580.0,2023.5,23.5,414.0,457.5,109.0,77.0,21.75,3.5,6.75,76.75,35.75,18.275,6.925,0.27675,0.37575,0.32575,0.7015,0.099,0.333,46.0,156.25,158.0,4.5,20.75,0.257,0.36525,0.30775,0.2985,0.309,0.10825,70.8333333333,11.0,18.7333333333,16.0333333333,42.4666666667,36.3666666667,7.2,9.66666666667,5.46666666667,4.46666666667,49.5,28.0,89.85,6.375,33.725,3.3
Salvador Perez,35,KCR,AL,0.4,155,641,597,54,141,35,0,30,100,0,0,28,125,0.236,0.284,0.446,0.729,100.0,0.311,97.0,266,14,12,0,1,5,2D3,nan,perezsa02,perezsa02,521692.0,2023.0,33.0,558.0,602.2,144.0,87.4,26.2,0.2,30.2,133.6,27.4,22.24,4.48,0.2578,0.4666,0.3028,0.7694,0.2088,0.286,96.2,230.8,261.2,0.0,0.2,0.262,0.5144,0.3262,0.3474,0.3082,0.2526,72.9333333333,31.0,17.0666666667,12.7,32.3,24.0,7.9,14.3333333333,13.0333333333,-5.63333333333,55.2333333333,34.5333333333,91.12,17.28,36.4,12.66
Jonathan India,28,KCR,AL,0.4,136,567,497,63,116,29,0,9,45,0,4,54,106,0.233,0.323,0.346,0.669,89.0,0.299,91.0,172,9,13,1,2,0,4D75/H,nan,indiajo01,indiajo01,663697.0,2023.0,26.0,480.4,559.0,119.6,78.0,26.0,1.2,14.4,115.0,57.6,20.6,10.08,0.2486,0.3964,0.3442,0.7406,0.1478,0.2966,54.8,156.4,191.2,3.0,8.4,0.2476,0.4058,0.3276,0.333,0.3454,0.158,71.6666666667,23.5666666667,12.7666666667,10.3333333333,32.1333333333,26.0,7.26666666667,20.0,9.16666666667,-3.6,53.8333333333,29.1666666667,87.46,14.68,35.82,7.12
Mike Yastrzemski*,34,KCR,AL,1.0,50,186,156,30,37,14,0,9,18,1,0,25,22,0.237,0.339,0.5,0.839,131.0,0.354,128.0,78,3,1,0,4,0,98/7HD,nan,yastrmi01,yastrmi01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Frazier*,33,KCR,AL,1.1,56,197,184,21,52,10,0,4,23,1,1,9,36,0.283,0.32,0.402,0.722,101.0,0.314,101.0,74,0,2,0,2,0,47/DH59,nan,fraziad01,fraziad01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Isbel*,28,KCR,AL,1.6,135,409,368,42,94,16,4,4,33,4,5,23,74,0.255,0.301,0.353,0.654,83.0,0.284,80.0,130,7,2,13,3,0,*8/H,nan,isbelky01,isbelky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddy Fermin,30,KCR,AL,1.1,67,208,192,17,49,7,0,3,12,1,2,13,37,0.255,0.309,0.339,0.648,82.0,0.284,80.0,65,2,2,1,0,1,2/HD4,nan,fermifr01,fermifr01,666023.0,2024.0,29.0,291.666666667,316.666666667,77.6666666667,58.3333333333,12.3333333333,0.333333333333,6.66666666667,60.3333333333,18.3333333333,19.3,5.76666666667,0.267666666667,0.388666666667,0.312333333333,0.701,0.121,0.314333333333,31.3333333333,123.666666667,110.666666667,0.666666666667,1.0,0.248,0.376,0.304333333333,0.294333333333,0.295,0.128,69.7333333333,7.26666666667,11.9333333333,9.7,34.3333333333,27.8666666667,7.36666666667,16.6666666667,10.1333333333,-1.43333333333,51.0666666667,36.0,89.0666666667,12.3333333333,31.0,5.76666666667
Randal Grichuk,33,KCR,AL,-0.4,43,105,97,10,20,3,0,2,5,0,0,7,22,0.206,0.267,0.299,0.566,59.0,0.251,53.0,29,1,1,0,0,0,9H7/D8,nan,grichra01,grichra01,545341.0,2023.0,31.0,395.4,425.2,101.2,60.8,23.0,1.8,15.6,88.8,23.4,20.44,5.74,0.2572,0.4472,0.3044,0.7516,0.19,0.2912,54.2,175.8,174.6,1.2,1.2,0.2506,0.4374,0.322,0.3204,0.3006,0.1864,74.0333333333,42.5333333333,19.6333333333,15.5,34.0,26.9,7.66666666667,9.33333333333,9.23333333333,-6.16666666667,62.1666666667,28.2,90.48,14.74,32.12,9.02
