Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Player-additional.1,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Bobby Witt Jr.,24,KCR,AL,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,0.332,0.389,0.588,0.977,174.0,0.416,171.0,374,4,8,0,8,9,*6/D,ASMVP-2GGSS,wittbo02,wittbo02,677951.0,2023.5,23.5,622.75,680.5,180.5,108.0,37.75,8.5,26.25,121.75,44.0,18.0,6.4,0.28925,0.503,0.33825,0.84125,0.21375,0.3195,93.25,221.0,314.0,10.75,37.0,0.28375,0.51725,0.356,0.3645,0.3365,0.2335,74.7,49.1,19.7666666667,15.7,34.1666666667,27.1333333333,7.03333333333,15.6666666667,5.63333333333,-0.966666666667,48.4333333333,29.7333333333,91.6,15.7,34.5,11.75
Salvador Perez,34,KCR,AL,2.5,158,652,590,58,160,28,0,27,104,0,0,44,129,0.271,0.33,0.456,0.786,122.0,0.339,116.0,269,17,11,0,6,9,23D/H,ASSS,perezsa02,perezsa02,521692.0,2023.0,33.0,558.0,602.2,144.0,87.4,26.2,0.2,30.2,133.6,27.4,22.24,4.48,0.2578,0.4666,0.3028,0.7694,0.2088,0.286,96.2,230.8,261.2,0.0,0.2,0.262,0.5144,0.3262,0.3474,0.3082,0.2526,72.9333333333,31.0,17.0666666667,12.7,32.3,24.0,7.9,14.3333333333,13.0333333333,-5.63333333333,55.2333333333,34.5333333333,91.12,17.28,36.4,12.66
Maikel Garcia,24,KCR,AL,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,75.0,0.287,69.0,191,7,0,4,5,0,*54H/69,nan,garcima01,garcima01,672580.0,2023.5,23.5,414.0,457.5,109.0,77.0,21.75,3.5,6.75,76.75,35.75,18.275,6.925,0.27675,0.37575,0.32575,0.7015,0.099,0.333,46.0,156.25,158.0,4.5,20.75,0.257,0.36525,0.30775,0.2985,0.309,0.10825,70.8333333333,11.0,18.7333333333,16.0333333333,42.4666666667,36.3666666667,7.2,9.66666666667,5.46666666667,4.46666666667,49.5,28.0,89.85,6.375,33.725,3.3
Vinnie Pasquantino*,26,KCR,AL,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,114.0,0.328,108.0,221,12,4,1,13,1,3D/H,nan,pasquvi01,pasquvi01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul DeJong,30,KCR,AL,0.7,37,119,108,15,24,3,0,6,15,0,1,9,44,0.222,0.277,0.417,0.694,95.0,0.308,97.0,45,1,0,0,2,0,5/HD6,nan,dejonpa01,dejonpa01,657557.0,2023.0,29.0,315.2,345.8,65.0,39.2,11.8,0.2,13.8,105.8,22.2,31.06,6.6,0.2032,0.3662,0.2664,0.6326,0.163,0.259,37.4,142.4,118.6,1.8,3.4,0.203,0.3746,0.276,0.2824,0.2676,0.1716,71.2,11.6333333333,10.4,7.03333333333,29.4666666667,19.8666666667,6.9,9.0,15.6666666667,-3.3,54.2,35.3,87.06,19.52,33.48,9.52
Tommy Pham,36,KCR,AL,0.1,23,104,101,9,23,3,1,2,8,1,0,3,27,0.228,0.25,0.337,0.587,66.0,0.272,66.0,34,1,0,0,0,0,7/9D,nan,phamth01,phamth01,502054.0,2023.0,35.0,457.4,518.2,110.8,73.2,22.2,2.0,13.4,120.2,53.2,22.94,10.22,0.2428,0.3882,0.323,0.7112,0.1454,0.297,54.2,176.6,177.2,3.6,11.2,0.2534,0.4244,0.3118,0.3322,0.3346,0.171,73.2666666667,32.1666666667,19.0,15.0333333333,37.6,29.7666666667,6.93333333333,10.6666666667,7.46666666667,0.5,48.6333333333,27.8666666667,91.46,7.78,33.62,8.48
MJ Melendez*,25,KCR,AL,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,89.0,0.29,83.0,165,3,3,0,0,1,*7H/D93,nan,melenmj01,melenmj01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Isbel*,27,KCR,AL,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,85.0,0.296,82.0,141,4,5,8,2,0,*8H,nan,isbelky01,isbelky01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfroe,32,KCR,AL,0.0,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,95.0,0.308,94.0,151,10,2,0,1,0,*9/HD3,nan,renfrhu01,renfrhu01,592669.0,2023.0,31.0,395.4,434.8,95.6,54.2,22.2,0.2,19.0,96.2,34.2,21.58,7.82,0.2316,0.4086,0.293,0.7016,0.177,0.2634,56.8,176.8,175.2,0.8,0.6,0.2246,0.4026,0.304,0.3032,0.2886,0.178,74.8,48.4,13.3666666667,10.4666666667,28.5666666667,22.3,7.7,4.33333333333,8.96666666667,-8.7,62.8333333333,26.0666666667,89.18,16.4,29.36,8.86
Freddy Fermin,29,KCR,AL,3.0,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,95.0,0.307,92.0,124,10,2,1,3,1,2D/H,nan,fermifr01,fermifr01,666023.0,2024.0,29.0,291.666666667,316.666666667,77.6666666667,58.3333333333,12.3333333333,0.333333333333,6.66666666667,60.3333333333,18.3333333333,19.3,5.76666666667,0.267666666667,0.388666666667,0.312333333333,0.701,0.121,0.314333333333,31.3333333333,123.666666667,110.666666667,0.666666666667,1.0,0.248,0.376,0.304333333333,0.294333333333,0.295,0.128,69.7333333333,7.26666666667,11.9333333333,9.7,34.3333333333,27.8666666667,7.36666666667,16.6666666667,10.1333333333,-1.43333333333,51.0666666667,36.0,89.0666666667,12.3333333333,31.0,5.76666666667
